ID,Timestamp,Team,Meeting,Setting,Comment
P63,13:10:00,T14,First,Online,"PROJECT - Agile CIC: Sports and Physical Activity
"
P67,13:10:00,T14,First,Online,"1. Objectives can be defined as an app that people would want to use to track their physical activity, with a uniform and high-quality level of questioning involved, and easy to understand output for the end user"
P63,13:10:10,T14,First,Online,"On top of that, I think they'd like to aggregate the data so they can find out the best way to get different types of individuals to become more physically active. If they're trying to design the app for ""future planning"" then it might be a good idea for them to put more resources towards activities that people would be more likely to use (as a consequence of the factors lilsted - competence, confidence, etc.)"
P67,13:10:10,T14,First,Online,Failure could even be defined with the app working perfectly but not being intuitive enough for everyday use.
P63,13:10:00,T14,First,Online,"I agree. In addition, I think to achieve a successful outcome we should present the gathered data in a meaningful way so that interpretations can be made accurately and efficiently."
P67,13:10:00,T14,First,Online,Which ties into point 3. Previous attempts haven't been great at giving clear and useful feedback to users.
P66,13:10:00,T14,First,Online,"In terms of obstacles, designing the data gathering aspect is probably the biggest one - if you think about the range of sports and physical activity that people do, risk of injury is higher in some fields compared to others, individuals' goals vary dramatically too. It'd be a pretty useless app if the first step isn't done well."
P67,13:10:00,T14,First,Online,"Exactly. Some people are just going to want to focus on getting their fitness level up, others are going to be a little more enthusastic about sports. You've got such a wide level of experiences available and you'll need a large dataset to make it work.
"
P63,13:10:00,T14,First,Online,"Well, if I was thinking ahead about trying to gather the data, you gradually split it into different categories (sport/activity, then purpose), and this would then generate the correct set of questions to gather relevant data. Instead of asking a bunch of questions that bare no impact on the activity in question. So I think that before designing any sort of questionnaries, you could figure out a way of splitting the question set into different categories. Hopefully a more appropriate questionnaire tailored to the user would increase the number of respondents.
"
P67,13:10:00,T14,First,Online,"Various questions have various tags, and choices that users enter will select the tags to be used?
"
P63,13:10:00,T14,First,Online,"Yeah, could use django filtering to do that sort of thing.
"
P67,13:10:00,T14,First,Online,"Should we post a comment for each of the listed questions, then reply to each comment to keep it grouped together?"
P63,13:10:00,T14,First,Online,"Seems a useful way of running this,
"
P63,13:10:00,T14,First,Online,"Or we could list each project and discuss them there, that might make more sense."
P67,13:10:00,T14,First,Online,Good call.
P63,13:30:00,T8,First,Online,1. Success is managing to get the project to where we and the customer want it to be and to get it to a phase where everyone is satisfied
P35,13:30:00,T8,First,Online,5. The most important decisions are who is going to be doing what and what products we are going to be using
P35,13:30:00,T8,First,Online,Are we meant to be discussing this in relation to the proposed projects?
P37,13:35:00,T8,First,Online,I think so
P35,13:35:00,T8,First,Online,"I would say we avoid projects which require languages none of us have covered in great detail, such as the C++ requirement for the Medipix project"
P37,13:35:00,T8,First,Online,"Yeah, I definitely agree"
P35,13:35:00,T8,First,Online,The For Your Eyes Only project appears to be a complex project as it would require OCR and 3D tracking.
P37,13:35:00,T8,First,Online,There is a machine learning project
P35,13:35:00,T8,First,Online,The craft project one
P35,13:35:00,T8,First,Online,That could be interesting
P37,13:35:00,T8,First,Online,"If we were to look into the craft game project, what would it mean by game? Something where the AI learns to play against human players?"
P37,13:35:00,T8,First,Online,"Also, if the two viewers here are in control of this chat, our other members cannot join as the site claims the chat is full. Any advice on how to fix this?"
P37,13:35:00,T8,First,Online,I suggest we all read this pdf by wednesday to have a rough idea of what we want to do and what we dont
P35,12:55:00,T11,First,Online,hello?
P49,12:55:00,T11,First,Online,Hi!
P52,12:55:00,T11,First,Online,ah excellent
P49,12:56:00,T11,First,Online,so have you guys looked at the projects yet?
P49,12:55:00,T11,First,Online,I have had a look at a few
P52,12:57:00,T11,First,Online,the one that sticks out to me is the neural network arcade game
P49,12:57:00,T11,First,Online,that one sounds interesting 
P52,13:08:00,T11,First,Online,"the chat isnt working for another team member, so we are just combining our answers. so for question 1, id define the objective is to design a game that would introduce people into the concept of using neural networks and satellites"
P52,13:13:00,T11,First,Online,for the neural network arcade game proposal
P52,13:13:00,T11,First,Online,yeah and success would be having a working game.
P49,13:15:00,T11,First,Online,as for implications Id say that since this is a test before proper deployment within satelites the implications arent too severe
P49,13:16:00,T11,First,Online,Yea I agree with that 
P52,13:17:00,T11,First,Online,Id say that the project is important as it allows the potential customers to have an insights into the techonolgies used and leading potential customers to become actual customers 
P52,13:19:00,T11,First,Online,"yeah thats very true, and I think that answers the stakeholders and owner/sponsor question aswell"
P49,13:26:00,T11,First,Online,"to whoever is monitoring this, the others have been having connection issues to the chatroom and cant get back in"
P54,10:19:00,T12,First,Online,HI
P57,10:19:00,T12,First,Online,hi
P56,11:00:00,T12,First,Online,oi
P55,11:04:00,T12,First,Online,there we go
P54,11:04:00,T12,First,Online,noice
P56,11:04:00,T12,First,Online,hello
P56,11:04:00,T12,First,Online,Potential pickings: page 18 for the app project
P56,11:04:00,T12,First,Online,Seems ez
P54,11:05:00,T12,First,Online,We are thinking of going for a project which is fairly easy to implement so we can focus on making sure we do the whole process well
P55,11:06:00,T12,First,Online,thats fair
P55,11:06:00,T12,First,Online,"gimme a sec to read it tho, the text is tiny lmao"
P55,11:08:00,T12,First,Online,that seems reasonable
P55,11:08:00,T12,First,Online,how many of the projects have you checked out?
P54,11:09:00,T12,First,Online,im just reading through them now
P54,11:09:00,T12,First,Online,1 seems difficult
P54,11:09:00,T12,First,Online,2 seems like its writen by someone who doesn't really know how it will all work so might be difficult to work with
P55,11:10:00,T12,First,Online,agree about 2
P55,11:10:00,T12,First,Online,i assume since most of these are apps we're gonna be using java?
P54,11:11:00,T12,First,Online,Some of them say what language to use
P55,11:16:00,T12,First,Online,fair enough
P55,11:16:00,T12,First,Online,3 seems cool but seems kinda hard
P55,11:17:00,T12,First,Online,5 seems good cause we'll get good feedback from the trustee
P55,11:17:00,T12,First,Online,that'll make our lives a lot easier
P54,11:17:00,T12,First,Online,"moved on a bit now, page 14 is asking for iOS and Android so im against that"
P55,11:18:00,T12,First,Online,you need an apple sdk which costs £100 lmao
P55,11:19:00,T12,First,Online,so i agree
P54,11:19:00,T12,First,Online,haha no chance
P54,11:19:00,T12,First,Online,Page 17 seems really interesting
P54,11:19:00,T12,First,Online,and as its written by a very sciency person they should be pretty straight forward asking for requirements
P54,11:20:00,T12,First,Online,We are thinking of making a short list of 3 projects incase we dont get our first choice
P55,11:20:00,T12,First,Online,sounds good
P55,11:20:00,T12,First,Online,17 does sound really interesting btw
P54,11:21:00,T12,First,Online,yeah 17 and 18 are top 2 rn
P55,11:22:00,T12,First,Online,what you guys think about the second project for number 3?
P56,11:22:00,T12,First,Online,which page?
P55,11:23:00,T12,First,Online,4
P54,11:23:00,T12,First,Online,That was the one I meant was interesting but looked quite difficult I think
P54,11:23:00,T12,First,Online,mixed them up
P55,11:23:00,T12,First,Online,fairs fairs
P54,11:23:00,T12,First,Online,And the words neural network is scary
P55,11:23:00,T12,First,Online,i think the first project of the two is definitely more difficult
P54,11:23:00,T12,First,Online,of the shortlisted ones?
P55,11:23:00,T12,First,Online,yea that's the one which i agree with looks pretty hard lol
